image_path,image_rel_path,dataset_name,modality,view,species,genus,family,specimen_id,source_id,phase,raw_species_name,normalized_species_name,protocol_group,overlap_type,protocol_usage,matched_species_name,taxonomy_match_status,taxonomy_suggestions
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (1).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (1).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (1),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (10).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (10).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (10),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (100).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (100).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (100),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (101).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (101).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (101),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (102).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (102).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (102),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (103).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (103).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (103),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (104).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (104).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (104),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (105).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (105).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (105),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (106).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (106).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (106),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
data/images/macro/Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (107).jpg,Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (107).jpg,xylomami_macro,macro,cross_section_end_grain,Acacia melanoxylon,Acacia,,ngang,xylomami_macro:Phase1/3301.Acacia melanoxylon/ngang/Acacia melanoxylon_3301.2 (107),Phase1,Acacia melanoxylon,Acacia melanoxylon,C,macro_only_non_overlap,P3,Acacia melanoxylon,exact_species_match,
