protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p1,train,Afzelia africana,A,220,5,214,6,214,0,1
p1,train,Afzelia bella,A,323,9,320,3,0,320,1
p1,train,Afzelia pachyloba,A,91,8,80,11,80,0,1
p1,train,Albizia adianthifolia,A,331,11,320,11,0,320,1
p1,train,Albizia ferruginea,A,295,12,280,15,0,280,1
p1,train,Alstonia boonei,A,329,11,320,9,0,320,1
p1,train,Amphimas pterocarpoides,A,284,8,280,4,0,280,1
p1,train,Autranella congolensis,A,143,3,140,3,140,0,1
p1,train,Canarium schweinfurthii,A,325,9,322,3,0,322,1
p1,train,Entandrophragma angolense,A,263,18,240,23,0,240,1
p1,train,Entandrophragma cylindricum,A,244,12,225,19,225,0,1
p1,train,Entandrophragma utile,A,231,14,208,23,208,0,1
p1,train,Funtumia africana,A,329,10,320,9,0,320,1
p1,train,Gilbertiodendron dewevrei,A,166,9,150,16,150,0,1
p1,train,Guibourtia arnoldiana,A,211,8,205,6,0,205,1
p1,train,Holoptelea grandis,A,287,9,280,7,0,280,1
p1,train,Klainedoxa gabonensis,A,161,4,149,12,149,0,1
p1,train,Lophira alata,A,145,2,139,6,139,0,1
p1,train,Mammea africana,A,326,10,320,6,0,320,1
p1,train,Milicia excelsa,A,330,10,324,6,324,0,1
p1,train,Millettia laurentii,A,162,7,149,13,149,0,1
p1,train,Morus mesozygia,A,326,10,320,6,0,320,1
p1,train,Musanga cecropioides,A,332,11,320,12,0,320,1
p1,train,Nauclea diderrichii,A,378,2,375,3,375,0,1
p1,train,Pericopsis elata,A,199,3,196,3,196,0,1
p1,train,Petersianthus macrocarpus,A,327,10,320,7,0,320,1
p1,train,Piptadeniastrum africanum,A,227,14,206,21,206,0,1
p1,train,Pterocarpus soyauxii,A,276,22,241,35,241,0,1
p1,train,Pycnanthus angolensis,A,322,9,320,2,0,320,1
p1,train,Terminalia superba,A,156,18,133,23,133,0,1
