protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p2,train,Afzelia africana,A,217,4,214,3,214,0,1
p2,train,Afzelia bella,A,323,9,320,3,0,320,1
p2,train,Afzelia bipindensis,B,6,2,0,6,0,0,1
p2,train,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p2,train,Afzelia pachyloba,A,91,8,80,11,80,0,1
p2,train,Afzelia quanzensis,B,261,5,261,0,261,0,1
p2,train,Albizia adianthifolia,A,328,10,320,8,0,320,1
p2,train,Albizia antunesiana,B,12,3,0,12,0,0,1
p2,train,Albizia chinensis,B,241,7,241,0,0,241,1
p2,train,Albizia ferruginea,A,295,12,280,15,0,280,1
p2,train,Albizia glaberrima,B,280,7,280,0,0,280,1
p2,train,Albizia zygia,B,282,7,282,0,0,282,1
p2,train,Alstonia boonei,A,326,10,320,6,0,320,1
p2,train,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p2,train,Amphimas pterocarpoides,A,284,8,280,4,0,280,1
p2,train,Anthonotha fragrans,B,280,7,280,0,0,280,1
p2,train,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p2,train,Antrocaryon micraster,B,280,7,280,0,0,280,1
p2,train,Antrocaryon nannanii,B,21,4,0,21,0,0,1
p2,train,Autranella congolensis,A,143,3,140,3,140,0,1
p2,train,Canarium album,B,144,1,144,0,144,0,1
p2,train,Canarium bengalense,B,218,7,218,0,0,218,1
p2,train,Canarium schweinfurthii,A,325,9,322,3,0,322,1
p2,train,Celtis adolfi-friderici,B,280,7,280,0,0,280,1
p2,train,Celtis gomphophylla,B,10,3,0,10,0,0,1
p2,train,Celtis mildbraedii,B,280,7,280,0,0,280,1
p2,train,Chrysophyllum africanum,B,4,2,0,4,0,0,1
p2,train,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p2,train,Chrysophyllum perpulchrum,B,280,7,280,0,0,280,1
p2,train,Diospyros crassiflora,B,9,3,0,9,0,0,1
p2,train,Diospyros salletii,B,175,2,175,0,175,0,1
p2,train,Entandrophragma angolense,A,283,8,280,3,0,280,1
p2,train,Entandrophragma candollei,B,11,4,0,11,0,0,1
p2,train,Entandrophragma cylindricum,A,244,12,225,19,225,0,1
p2,train,Entandrophragma utile,A,231,14,208,23,208,0,1
p2,train,Erythrophleum ivorense,B,138,1,138,0,138,0,1
p2,train,Erythrophleum suaveolens,B,10,3,0,10,0,0,1
p2,train,Funtumia africana,A,329,10,320,9,0,320,1
p2,train,Funtumia elastica,B,280,7,280,0,0,280,1
p2,train,Gilbertiodendron dewevrei,A,166,9,150,16,150,0,1
p2,train,Guibourtia arnoldiana,A,243,9,237,6,0,237,1
p2,train,Guibourtia coleosperma,B,360,1,360,0,360,0,1
p2,train,Guibourtia demeusei,B,10,4,0,10,0,0,1
p2,train,Holoptelea grandis,A,284,8,280,4,0,280,1
p2,train,Khaya anthotheca,B,17,7,0,17,0,0,1
p2,train,Khaya grandifoliola,B,280,7,280,0,0,280,1
p2,train,Khaya ivorensis,B,280,7,280,0,0,280,1
p2,train,Khaya senegalensis,B,134,1,134,0,134,0,1
p2,train,Klainedoxa gabonensis,A,161,4,149,12,149,0,1
p2,train,Lophira alata,A,145,2,139,6,139,0,1
p2,train,Mammea africana,A,326,10,320,6,0,320,1
p2,train,Milicia excelsa,A,330,10,324,6,324,0,1
p2,train,Millettia laurentii,A,162,7,149,13,149,0,1
p2,train,Morus mesozygia,A,292,13,280,12,0,280,1
p2,train,Musanga cecropioides,A,328,10,320,8,0,320,1
p2,train,Nauclea diderrichii,A,378,2,375,3,375,0,1
p2,train,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p2,train,Nesogordonia papaverifera,B,280,7,280,0,0,280,1
p2,train,Pericopsis elata,A,199,3,196,3,196,0,1
p2,train,Petersianthus macrocarpus,A,327,10,320,7,0,320,1
p2,train,Piptadeniastrum africanum,A,227,14,206,21,206,0,1
p2,train,Pterocarpus erinaceus,B,242,7,242,0,0,242,1
p2,train,Pterocarpus macrocarpus,B,339,6,339,0,339,0,1
p2,train,Pterocarpus soyauxii,A,227,22,192,35,192,0,1
p2,train,Pterocarpus tinctorius,B,15,5,0,15,0,0,1
p2,train,Pycnanthus angolensis,A,322,9,320,2,0,320,1
p2,train,Terminalia ivorensis,B,280,7,280,0,0,280,1
p2,train,Terminalia superba,A,156,18,133,23,133,0,1
p2,train,Tieghemella heckelii,A,324,9,320,4,0,320,1
p2,train,Triplochiton scleroxylon,A,329,9,322,7,0,322,1
p2,train,Zanthoxylum gilletii,A,323,9,320,3,0,320,1
p2,train,Zanthoxylum lemairei,B,11,2,0,11,0,0,1
p2,val,Afzelia africana,A,56,2,54,2,54,0,1
p2,val,Afzelia bella,A,40,1,40,0,0,40,1
p2,val,Afzelia bipindensis,B,3,1,0,3,0,0,1
p2,val,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p2,val,Afzelia pachyloba,A,18,3,16,2,16,0,1
p2,val,Afzelia quanzensis,B,76,2,76,0,76,0,1
p2,val,Albizia adianthifolia,A,45,3,40,5,0,40,1
p2,val,Albizia antunesiana,B,2,1,0,2,0,0,1
p2,val,Albizia chinensis,B,62,2,62,0,0,62,1
p2,val,Albizia ferruginea,A,47,7,40,7,0,40,1
p2,val,Albizia glaberrima,B,40,1,40,0,0,40,1
p2,val,Albizia zygia,B,79,2,79,0,0,79,1
p2,val,Alstonia boonei,A,43,2,40,3,0,40,1
p2,val,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p2,val,Amphimas pterocarpoides,A,74,3,71,3,0,71,1
p2,val,Anthonotha fragrans,B,40,1,40,0,0,40,1
p2,val,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p2,val,Antrocaryon micraster,B,79,2,79,0,0,79,1
p2,val,Antrocaryon nannanii,B,3,1,0,3,0,0,1
p2,val,Autranella congolensis,A,62,2,59,3,59,0,1
p2,val,Canarium album,B,143,1,143,0,143,0,1
p2,val,Canarium bengalense,B,30,1,30,0,0,30,1
